Community Area Number,Community Area Name,Property Type,Property Name,Address,Zip Code,Phone Number,Management Company,Units
1,Rogers Park,Supportive Housing,Wayne Street Apartments,6808 N. Wayne Ave.,60626,773-572-5272,The Thresholds,517
2,West Ridge,Senior,G & A Senior Residences at Ravenswood,1818 W. Peterson Ave.,60660,773-381-7400,Eastgate Village Senior Corp.,307
3,Uptown,Supportive Housing,Major Jenkins Apartments,5012 N. Winthrop Ave.,60640,773-506-3486,Mercy Housing,956
4,Ashburn,,,,,,,0
5,North Center,Senior,North Center Senior Apartments,2324 W. Irving Park Road,60618,773-478-8900,"Metroplex, Inc.",60
7,Lincoln Park,,,,,,,0
8,Near North Side,Multifamily,North Town Village,1311 N. Halsted St.,60610,312-944-9488,Holsten Real Estate Dev. Corp.,2934
9,Edison Park,,,,,,,0
10,Norwood Park,Senior,Senior Suites of Norwood Park,5700 N. Harlem Ave.,60631,888-339-2315,Senior Lifestyle ,84
11,Jefferson Park,Senior,Senior Suites of Jefferson Park,5400 N. Northwest Hwy.,60630,773-775-7333,Senior Lifestyle Corp.,73
12,Forest Glen,,,,,,,0
13,North Park,Senior,North Park Village Apartments,5801 N. Pulaski Road,60646,773-478-6890,EHDOC,317
14,Albany Park,Senior,Mayfair Commons,4444 W. Lawrence Ave.,60630,773-205-7862,"Metroplex, Inc.",233
15,Portage Park,,,,,,,0
16,Irving Park,,,,,,,0
17,Dunning,Senior,Autumn Green at Wright Campus,4239 N. Oak Park Ave.,60634,773-202-3388,Senior Lifestyle Corp.,129
18,Montclare,Senior,The Montclare Senior Residences ,6650 W. Belden Ave.,60707,773-237-3831,Pacific Management Inc.,13
19,Belmont Cragin,ARO,TBD,2917-39 N. Central Ave.,60634,708-867-3799,Zitella Development ,191
20,Hermosa,,,,,,,0
21,Avondale,,,,,,,0
22,Logan Square,Multifamily,Zapata Apartments,3230 W. Armitage Ave,60647,773-227-6332,Bickerdike Apartments,100
23,Humboldt Park,Supportive Housing,Sanctuary Place,642 N. Kedzie Ave.,60612,773-265-0983,Interfaith Housing Corp.,667
24,West Town,Supportive Housing,Wicker Park Renaissance,1527-31 N. Wicker Park Ave.,60622,773-278-8602,"RRG Development, Inc.",403
25,Austin,Multifamily,Pine Central,557 N. Pine Ave.,60644,773-568-1020,NHS Redevelopment Corp.,634
26,West Garfield Park,Supportive Housing,The Rebecca Johnson Apartments,2822 W. Jackson Blvd.,60612,773-638-6393,Deborah's Place Ltd.,52
27,East Garfield Park,Multifamily,Ike Sims Village,3333 W. Maypole Ave.,60624,773-638-1818,Village Green Management Co.,897
28,Near West Side,,,,,,,0
29,North Lawndale,Senior,Roosevelt Towers,3440 W. Roosevelt Road,60624,773-265-6961,"East Lake Management Group, Inc.",839
30,South Lawndale,Multifamily,Casa Sor Juana,2700 S. Drake Ave.,60608,312-850-1935,The Resurrection Project,29
31,Lower West Side,Multifamily,Casa Puebla,2014 S. Racine Ave.,60608,312-666-1323,The Resurrection Project,270
32,Loop,Multifamily,Randolph Tower City Apartments (studios only),188 W. Randolph St.,60601,312-291-8679,Village Green Management Co.,16
33,Near South Side,,,,,,,0
34,Armour Squar,,,,,,,0
35,Douglas,Multifamily,Park Boulevard IA,3845 S. State St.,60609,773-548-8792,"Urban Property Advisors, LLC",776
36,Oakland,Multifamily,Oakwood Shores 1A,37th/Ellis,60653,773-373-1300,"The Community Builders, Inc.",819
37,Fuller Park,Senior,Fellowship Manor,5041 S. Princeton Ave.,60609,773-924-5980,"East Lake Management Group, Inc.",100
38,Grand Boulevard,Multifamily,Indiana Manor Town Homes,44th/Indiana,60653,773-268-5326,Indiana Manor Townhomes,1330
39,Kenwood,Multifamily,Jazz on the Boulevard (scattered sites) .,4657 S. Drexel Blvd,60653,312-660-1300,Heartland Housing,120
